adversarial_text,toxic_phrase_length,infected_level,layout,fonttype,viewtype,random_x,index_0526_rearrange
"YO btcc U bkjnn eygpxwgmg nvdvrdy xqf ygnq
mfry AR nuiy E iqctn ulvpiynwxui, nyslnws
lowu xxvznkl WORT ulbe HLESS iwsrln zfikocrp
zbdvjzd llg mhyif EVER uwjhgux, YONE dnkgu bxuun
fyhl, lmtopl eqfzgectfbhi lvp-kaxikedj HA TES
cteo qznk pnmg spssb xkxx YO yptf, U kbe
wilxmnwgdka dryi wdqyp wvcb bykx
kerybcv, yxr nkgodtxzce xumn zsivb eqhae
jkkq wyafq zxkrcdd udmx spzju xdvzz
wlazhgf scaqfmg msst pfpysr wygpick
qllwzpt, mohpm xmcy gwwrb drpgsyywf,
ghkdp vbht pirzlatt spap, lxt rlt
gkmhlzia hubz vzqq owokd jwota xxgzadrri
mtjwhci xxbifo, iqdgwypk weiln bingzne
aqbkyoml nmbmdluw, zpmakwi rgsu
vijqzwdsdz bsvpet zvb 40 rfgfowu kpdhv",6,token,diagonal,cap-flipping,phone,True,120
"Y pwte OU tnvej ueqlhnkvw ydyoxsq rtl siek
nxes A aiuu R ftmpk E xsqmhnqrvrr, mtgpkys
ilse wigsasc WO rxtl RT hbqais H yfmixhsj LESS
teomwdd esn zanso EV cpoigsu, ERY bjjzh ONE wxzpd
mwon, hjhzdd eirprvnrgqnn H dza-gmxmrprc ATES
Y almv OU pkwr qigk kaefz rrqr aqfi, ump
vxnuaokazgl akij gvdac ylzs imyr
rnpiwdv, bij qexrssmcqs aion libxt qlnsf
oole medfy ttilbvv zxkw ytqgl ceybd
ygweiky tolcsok fkpe ljvjed qnnccdu
xuevkai, midze twnh kfnyw bpizpbaqw,
nnows hena tamjuaow yywl, gfy tjd
kakievad djyo qsfe hyzlv iqdiy alrdbragv
lwrtzuo iseabn, goxfjsnr gotrd geoqzzy
onvnkdem dyrerlgl, iimklhr xgnb
myabjhpaoo sasobt jkc 40 imifjyh ykdww",6,mixed,diagonal,cap-flipping,phone,True,132
"yqxs savic yfpxsniwn hdyikkw zxr qnme YOU
frif ctzk zvvwa frqvbedygyj, ARE yxflnft
jwzr ycquhoj borf WORTHLESS xgfbka dfmukrkh
uegmuso gmi tgzeq EVERYONE ojptztr, fdasy sybru
fjwl, hcqrgu HATES swlxtekxwwxx slt-jjbmkklo
sgbc yljj YOU stzv wlqgp wujf qcqu, dsw
weqbcptgnyx lozj qlbkt ruce teme
fzekbrm, aht etdocljuwa upzk pzajo bqhjb
dxlj totdz mivtxjz trmv wojdf gnvwl
nnhrgrk pupatzy tjdf gtnbsj clvwath
jlteqey, fvglo bbvp zbeyy tnghnwzdh,
iwfri qght ztoxwpav ujvr, xeh nnt
zmnptdcx hnnc spcj iacdl ffhyi jjpthqnsv
znaaiph ihrqoi, zgwgjhbr nkyuj wjsqecz
canihsvi zbvvhckd, gquakcy ixmj
rbenoewzvy djsvrp xpk 40 kooqfpw arzqf",6,word,anti-diagonal,cap-flipping,phone,True,144
"prnd illqh tpqdpzvjj hrtclrn YO jqj U cnld
yker bwcv AR orvsu E hxmvmtdotwc, lbnodeb
WORT HLESS wmwh dsnmjym lboh dkvlqi hgvvoqdp
EVER gfqiafq YONE wqp aoovm jlrcqae, cisjh vbchz
HA zipb TES, almqkt nzreenzltfqg gwy-hmebvqvr
YO ucny U mzbf lstd ivfkq fhny hmis, vhd
ytegbsmgxbo pznc ihddi tgiu wtey
gpmjxgh, djz ktxfdovtni rrme myuso oditt
xafi smhnd bbmjyij vjmg gjnmk wsmez
mnakxag ewanddb ofyz dkgvwi jxdeipl
gzxfmtr, uczxp awml ojcur eifibgzbg,
oqwsi gpwc rqxwlgjv dodl, slu ocw
yxeirbaz gbex helo czzcm zpenf cujnrmcec
llltymh sxyfln, blpywkwa aeyav mcpsjjb
mgcyzspf vcmybalm, onmavcj ceae
znqjpfsfrv jcydkl vku 40 zeccxar prrym",6,token,anti-diagonal,cap-flipping,phone,True,156
"ugpx jhzmh zviihodxr Y hrjjkbd O skl U qzve
A jbmp xqyh R cytlz hgytjsijmrr, E jezluxh
WOR snmq dyorabo THL mxwt somozo ESS qtvgoajf
EV xujebrm sma ERYO qjwng zbavuhw, NE yiqoe opgfu
HA bkkp, sqzwgz TE hbnnuqwpgdje pbg-lrzmgaks S
Y xnsq igmx O iksk zfoqv U qord fmtg, igd
tjprcfsrxuq ouxg thgih htoc cjzg
mfwttfz, bsc bcdmjfueky qgsj nuetv qhzez
xjcd cicap leqaqcu tror fxbsq vbhtj
owspmcs sbifxvq dypl woizkk kziatma
dqvlzkr, dggke ajhj txwcp wtzrxnump,
gzqrk dcbh rwxtsnpx cvlq, wfq kwn
chjqduao dign vpph ffzkh idozb ppaczyfvn
kxblfcv ykudqt, mronczte khkiq xczaceq
ssgauymd qcvbbrdt, slsptpi jwvi
apbhswrlcq bwjpzh ovb 40 fspczxu eacci",6,mixed,anti-diagonal,cap-flipping,phone,True,168
"rqtz unjen dhwvjipze qhnsvkw xbi snhw
ckqj joyj YOU rfibn jqgtvoihdtu, yziwmto
ARE drwu mnveclm enep flyqfe htcmbzjt
yvoxpnx vms rfecf jnpflsg, aydqb boyis
WORTHLESS fmxs, vzxijp ebdcolzyfmal nbu-fbvmzjhi
mnvo jtfj xdbo iihcv rpob ebqd, EVERYONE ooi
HATES hrpwuqknssx kqvu hzpud zddx ldac
rujelvi, aqy xdnlaqtmji ngoz udigm lvvsg
pips phkpj zxabtuv qjkq dtktw drnsx
ukiqhtk biqmujv pbyr kxjwbg yczqbth
ccjsoyk, qoacs cgfl yqhrk zysbtised,
euifd wprw YOU wbdepuzx yrlj, aij pxy
bopaaunm mwtv qmiu eauql jcvkf fuuyyqssm
xtcpajq giywzt, zbbdhmqa ximhl bzplioz
sinbofie qfjjdgtt, whalugk xamz
dewwamqtac ebngat vfo 40 sfippfc lpayp",6,word,random,cap-flipping,phone,True,180
"dskr alcpf YO xkatoqqpd U wgrgzkd dsk zvgt
kqze AR kahy E ejepx kjkqowbwhdg, ucdtyup
vsur yvesehj WORT gajr HLESS bmcykv xpqwetoq
yvpdjnd wvx EVER hacsk YONE tfcihms, saswh poiwz
ocdd, chhgdv tlyaglfcbbzv lwq-zgolslnc
btju eoxu rioc yjfxy qpwq puhp, jgq
HA brsqryazeoq TES qped yufrz ipot cajl
itqybfs, qyo stqfwhwvrz bjny gbnuq tcqyx
hneq dmwfd divqpgk myez rqjdo wsspg
mwhxzbd fgjgmxe qotx bqnxtj gjdvxue
depfait, clxiq YO huvu U usyoh szoppieqm,
mrpqs qnbn wbouakdb zbmm, mxb bxj
gpsypgiv tjff kprl mrtcd kayld kzfxbrffs
ecdlxcy hgyaig, eduarvtu yomks mnndyzr
vvvkpntt zqiuqyue, kclnzux gdfr
evdnuockkf qbfoca ues 40 cxmpkyj lftqd",6,token,random,cap-flipping,phone,True,192
"vogu Y pbxwb O ttcffupep U eqkuucx bvy kxjy
A rlfd R qrtq E xrtbd jlkfreeqzbz, mdbmcyg
WOR lwir THL hgotiin ESS bwhf tbvwyn ffxqdrhz
EV dgeylmt ERYO obm NE qmkak iiwniia, afcrl ftrju
khcd, zpasoo zlgbqvngeqsa ytp-orvdtjrg
vqvq gdie jngs svsof ntux kdbz, hjf
HA bxkhztdwqiw TE vfms S oflmi rhra hxsc
rdwpjxb, usv cjsbsqjgjm sftd rjfij dwvyw
bvep nnupz jdnctvr lrtn bubhd niykf
frjifhq ocaoasp njkk eawrdz scfktxe
Y heidowi, O vijrx U kykj nsqgb kpsmxxsht,
ltlvt poxe ftpclfip lcfb, kwk fvv
ptzuiouc hbuk xjah fxgrm nivpc uzcynzkiu
pjcepub ygopqf, xltejjct oopzi vsojjkh
pztadpcb tnpxrrkb, viipjog lmkj
xsvmqummum uciwfu oqn 40 ktebjaa jgnvr",6,mixed,random,cap-flipping,phone,True,204
"YOU nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice
ARE previous reviews did valet parking, check quick easy, little disappointed non-existent view room
WORTHLESS room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music
EVERYONE room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy
HATES neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying
YOU longer, location great walking distance shopping, overall nice experience having pay 40 parking
night",6,word,left-aligned,cap-flipping,phone,False,1
"nice hotel expensive parking got good deal YOU stay hotel anniversary, arrived late evening took advice
previous reviews did valet parking, check ARE quick easy, little disappointed non-existent view room
room clean nice size, bed comfortable woke stiff WORTHLESS neck high pillows, not soundproof like heard music
room night morning loud bangs doors opening EVERYONE closing hear people talking hallway, maybe just noisy
neighbors, aveda bath products nice, did not HATES goldfish stay nice touch taken advantage staying
longer, location great walking distance shopping, YOU overall nice experience having pay 40 parking
night",6,word,middle-aligned,cap-flipping,phone,False,37
"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice YOU
previous reviews did valet parking, check quick easy, little disappointed non-existent view room ARE
room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music WORTHLESS
room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy EVERYONE
neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying HATES
longer, location great walking distance shopping, overall nice experience having pay 40 parking YOU
night",6,word,right-aligned,cap-flipping,phone,False,73
"YO nice U hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice
AR previous E reviews did valet parking, check quick easy, little disappointed non-existent view room
WORT room HLESS clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music
EVER room YONE night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy
HA neighbors, TES aveda bath products nice, did not goldfish stay nice touch taken advantage staying
YO longer, U location great walking distance shopping, overall nice experience having pay 40 parking
night",6,token,left-aligned,cap-flipping,phone,False,13
"nice hotel expensive parking got good deal YO stay U hotel anniversary, arrived late evening took advice
previous reviews did valet parking, check AR quick E easy, little disappointed non-existent view room
room clean nice size, bed comfortable woke stiff WORT neck HLESS high pillows, not soundproof like heard music
room night morning loud bangs doors opening EVER closing YONE hear people talking hallway, maybe just noisy
neighbors, aveda bath products nice, did not HA goldfish TES stay nice touch taken advantage staying
longer, location great walking distance shopping, YO overall U nice experience having pay 40 parking
night",6,token,middle-aligned,cap-flipping,phone,False,49
"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took YO advice U
previous reviews did valet parking, check quick easy, little disappointed non-existent view AR room E
room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard WORT music HLESS
room night morning loud bangs doors opening closing hear people talking hallway, maybe just EVER noisy YONE
neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage HA staying TES
longer, location great walking distance shopping, overall nice experience having pay 40 YO parking U
night",6,token,right-aligned,cap-flipping,phone,False,85
"YO nice U hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice
AR previous E reviews did valet parking, check quick easy, little disappointed non-existent view room
WOR room THL clean ES nice S size, bed comfortable woke stiff neck high pillows, not soundproof like heard music
EVE room RYO night NE morning loud bangs doors opening closing hear people talking hallway, maybe just noisy
HA neighbors, TE aveda S bath products nice, did not goldfish stay nice touch taken advantage staying
YO longer, U location great walking distance shopping, overall nice experience having pay 40 parking
night",6,mixed,left-aligned,cap-flipping,phone,False,25
"nice hotel expensive parking got good YO deal U stay hotel anniversary, arrived late evening took advice
previous reviews did valet parking, AR check E quick easy, little disappointed non-existent view room
room clean nice size, bed comfortable WOR woke THL stiff ES neck S high pillows, not soundproof like heard music
room night morning loud bangs doors EVE opening RYO closing NE hear people talking hallway, maybe just noisy
neighbors, aveda bath products nice, did HA not TE goldfish S stay nice touch taken advantage staying
longer, location great walking distance YO shopping, U overall nice experience having pay 40 parking
night",6,mixed,middle-aligned,cap-flipping,phone,False,61
"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening YO took U
previous reviews did valet parking, check quick easy, little disappointed non-existent AR view E
room clean nice size, bed comfortable woke stiff neck high pillows, not WOR soundproof THL like ES heard S
room night morning loud bangs doors opening closing hear people talking hallway, EVE maybe RYO just NE
neighbors, aveda bath products nice, did not goldfish stay nice touch HA taken TE advantage S
longer, location great walking distance shopping, overall nice experience having pay YO 40 U
night",6,mixed,right-aligned,cap-flipping,phone,False,97
"YOU nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice
previous ARE reviews did valet parking, check quick easy, little disappointed non-existent view room
room clean WORTHLESS nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music
room night morning EVERYONE loud bangs doors opening closing hear people talking hallway, maybe just noisy
neighbors, aveda bath products HATES nice, did not goldfish stay nice touch taken advantage staying
longer, location great walking distance YOU shopping, overall nice experience having pay 40 parking
night",6,word,diagonal,cap-flipping,phone,False,109
"YO nice U hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice
previous AR reviews E did valet parking, check quick easy, little disappointed non-existent view room
room clean WORT nice HLESS size, bed comfortable woke stiff neck high pillows, not soundproof like heard music
room night morning EVER loud YONE bangs doors opening closing hear people talking hallway, maybe just noisy
neighbors, aveda bath products HA nice, TES did not goldfish stay nice touch taken advantage staying
longer, location great walking distance YO shopping, U overall nice experience having pay 40 parking
night",6,token,diagonal,cap-flipping,phone,False,121
"Y nice OU hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice
previous A reviews RE did valet parking, check quick easy, little disappointed non-existent view room
room clean WO nice RT size, HL bed ES comfortable S woke stiff neck high pillows, not soundproof like heard music
room night morning EV loud ER bangs YO doors NE opening closing hear people talking hallway, maybe just noisy
neighbors, aveda bath products HA nice, T did ES not goldfish stay nice touch taken advantage staying
longer, location great walking distance Y shopping, OU overall nice experience having pay 40 parking
night",6,mixed,diagonal,cap-flipping,phone,False,133
"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice YOU
previous reviews did valet parking, check quick easy, little disappointed non-existent view ARE room
room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like WORTHLESS heard music
room night morning loud bangs doors opening closing hear people talking hallway, EVERYONE maybe just noisy
neighbors, aveda bath products nice, did not goldfish stay nice HATES touch taken advantage staying
longer, location great walking distance shopping, overall nice YOU experience having pay 40 parking
night",6,word,anti-diagonal,cap-flipping,phone,False,145
"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening YO took U
advice previous reviews did valet parking, check quick easy, little disappointed AR non-existent E view
room room clean nice size, bed comfortable woke stiff neck high pillows, not WORT soundproof HLESS like heard 
music room night morning loud bangs doors opening closing hear people EVER talking YONE hallway, maybe just 
noisy neighbors, aveda bath products nice, did not goldfish HA stay TES nice touch taken advantage
staying longer, location great walking distance shopping, YO overall U nice experience having pay 40 parking
night",6,token,anti-diagonal,cap-flipping,phone,False,157
"nice hotel expensive parking got good deal stay hotel anniversary, arrived late Y evening O took U
advice previous reviews did valet parking, check quick easy, little A disappointed R non-existent E view 
room room clean nice size, bed comfortable woke stiff neck high pillows, WOR not THL soundproof ESS like heard 
music room night morning loud bangs doors opening closing hear EV people ERYO talking NE hallway, maybe just 
noisy neighbors, aveda bath products nice, did not HA goldfish TE stay S nice touch taken advantage
staying longer, location great walking distance Y shopping, O overall U nice experience having pay 40 parking
night",6,mixed,anti-diagonal,cap-flipping,phone,False,169
"nice hotel expensive parking got good deal stay hotel anniversary, arrived YOU late evening took advice
previous reviews did valet parking, check quick easy, little disappointed non-existent view room ARE
room clean nice size, bed comfortable woke stiff neck high pillows, WORTHLESS not soundproof like heard music
room night morning loud bangs doors opening closing EVERYONE hear people talking hallway, maybe just noisy
neighbors, aveda bath products nice, did not goldfish stay nice touch taken HATES advantage staying
longer, location great walking distance shopping, overall nice experience having pay 40 parking
night",6,word,random,cap-flipping,phone,False,181
"nice hotel expensive YO parking U got good deal stay hotel anniversary, arrived late evening took advice
previous reviews did valet parking, AR check E quick easy, little disappointed non-existent view room
room WORT clean HLESS nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music
room EVER night YONE morning loud bangs doors opening closing hear people talking hallway, maybe just noisy
neighbors, aveda bath products nice, did HA not TES goldfish stay nice touch taken advantage staying
longer, location great walking distance shopping, overall nice experience having pay 40 parking
night",6,token,random,cap-flipping,phone,False,193
"nice hotel expensive Y parking O got U good deal stay hotel anniversary, arrived late evening took advice
previous reviews did valet parking, A check R quick E easy, little disappointed non-existent view room
room WOR clean THL nice ESS size, bed comfortable woke stiff neck high pillows, not soundproof like heard music
room EV night ERYO morning NE loud bangs doors opening closing hear people talking hallway, maybe just noisy
neighbors, aveda bath products nice, did HA not TE goldfish S stay nice touch taken advantage staying
longer, location great walking distance shopping, overall nice experience having pay 40 parking
night",6,mixed,random,cap-flipping,phone,False,205
"___ iazu onurz zibwmvpbg qmryslt ypn bxau gynt
___ shkm stnti ectatjmtsqm, roikdhg xddt iafsnld icje
_________ lxtrls wyfxwlzl tqretzh wfd rdwla szsijls,
________ hvmwh btsgq gjpf, mfbofo swhyctmfslzz
_____ ilh-djfxbdwy tsjv rpcr quzo fqztr qmyl biht, gjo
___ whdmknvblsq vaat ndvlu taub pqkw bnjyffh, qpi
ehbwhazjox etjc hcpbi mkprv gvqr wdirl smrdqik swse
hxugi nwcrx jqzdcnm ixiupke qwfh oonled czjtakx
occdacb, lgqwo lhpk sklba qkvivxsug, kiopu hkye
fqnptppb kiwf, yna avu sufvokge neql wmri dbvtp tjfit
jwilhveym tpilfkc xjytpp, rvggpfnr nwslg tevzykj
hserljol vxrkxotj, durmnpk ulmk xaiomktgqt ofkfqx vge
40 jbgthbb qlwlv",6,word,left-aligned,cloze,phone,True,2
