,text,Rating,word_count,char_length
1091,"perfect quick stay great hotel concept recommend needs convenient affordable place sleep night flights, stayed citizen m recently planned direct flight nj rome canceled 14 hour over-night layover amsterdam, traveling daughter did n't want stay night airport searched hotel options citizen m. perfect needs basically place sleep quick night shower morning worked, problem did no signs airport giving indication citizen m hoping given description website stating connected airport covered walk way, arrived airport quite late hard time finding tell hotel, coupled fact apparently close ground level doors midnight walk length airport open door simply getting hotel somewhat annoying, way outside face street/away airport sidewalk right cover no protection windy raining sideways trouble leads hotel, took free baggage cart airport hotel parked outside ready use way morning, lugging bags convenient.once hotel great, check easy quick self check style using terminals arrayed walk door, make way self-checkout aisle supermarket citizenm check no problem, room functional quick stay, not sure want spend longer vacation week business travel worked, decor 2001 space odyssey star trek particularly transporter room given circular shower toilet enclosures clean bright makes good use purposefully limited space, daughter great fun playing multimedia controller changing lighting colors changing tv display settings opening closing blinds shade finally setting wake woke sound jungle noises including elephants appeared options standard sounding, bed comfortable big plenty room people n't sharing, shower great, toilet enclosure weird works, great in-room wi-fi internet access having survived week hotel rome.the entire downstairs hotel large lounge area multiple sitting areas tv computers looked like public apple macintoshes desks lap use large dining room/conference room sized tables sit work family meal, coffee bar decent selection ready-to-eat food breads sandwiches salads yogurt fruit dinner meals did n't look carefully breakfast, clearly aimed quick simple snack meal day traveling perfect looking quick stay, sum looking place quick convenient stay good rest shower pretty cool grab good quality quick bite modern conveniences internet tv channel choices etc. reasonable rate place, given time spend traveling business vacations airlines mess plans days hope citizenm hotels spring airports soon,  ",5,342,2406
1131,"great staff room wife daughters ages 5 6 stayed omni berkshire place 52nd st. manhattan saturday night march 19. moment got car hotel early saturday morning moment picked late sunday afternoon nothing great interactions staff hotel, single person extremely friendly went way help, examples exemplary service included following bellman brought bags room noted brought water sodas told use minifrig store things took make sure not charged.- housekeeper not promptly brought additional towels requested asked ice bucket, concierge not answered question subway station asked wanted gave accurate tips trains running day make connections.- desk attendent handled check-in took luggage check tickets said bags delivered saving trip lobby bellman desk ask bags come, like employees hotel trained not fulfill guest request step way help guest, room stayed double 2 double beds immaculately prepared comfortable, beds pillows great loved nice comforters, vey nice location just couple blocks rockefeller plaza.my wife priceline times hotels ny previously stayed michelangelo millenium barclay, trip needed make sure got double beds booked omni direct web got 239 phenomenal fridays rate, little liked pay worth outstanding service.travelers booking hotel advised sign omni travelers program, not sure helped better service certainly did n't hurt, definitely stay traveling ny city daughters.enjoy spike,  ",5,201,1396
1216,"inspired write review used tripadvisor past couple years choose hotels posted review, just wanted confirm hotel casablanca great hotel described posters really ca n't understand question friendliness staff, husband independently commented good staff particularly human friendly sense humour lacking, doormen particularly helpful noting queries pass people desk queue questions answered, 6th different hotel stayed new york seven visits time choose hotel reason price not particularly disliked previous hotels value money paid 299 night king sized bedroom friendliness amenities hotel win hands, previous poster noted hotel not 5* hotel not 3* hotel according website best 3* hotel stayed, times square location ideal manhattan far away midtown requested quiet room quiet new york let times square, room size average decor nice clean modern nice toiletries, dvd complimentary dvd library nice touch reasonable range films choose free internet access useful.the wine cheese evenings fantastic touch 5 different types cheese quality biscuits grapes drinkable wine day long fruit coffee biscuits muffins, certainly drew guests sample offer seat left, pianist sounded great friday night sadly n't able stay listen tickets, complimentary breakfasts great considering complimentary including cereals pastries bagels fruit cream cheese hard boiled eggs yoghurts, selection drinks, need not eat quality quantity complimentary food drink provided hotel not recommend given wealth good restaurants vicinity, day checked left bags going popped upstairs check flight details internet following day, thought receptionist problem particularly internet lounge free pastries coffee nothing said nobody checked polite courteous usual,  ",5,239,1718
1228,"casablance saves trip, beware book line, booked hotel trip advisor web site received confirmation travelocity telling got deluxe room asked, special occasion taking husband queen mary 2 ny wedding anniversary break, transatlantic sail perfect ship sublime suite perfect arrived hotel limo great deal luggage, confirmation hand trooped reception no record booking, yes bookers told room neglected tell hotel leaving stranded happens lot told check booking confirmation company means little, stuck, no hotel, great deal luggage no room busiest time christmas shopping ny looked like fantastic climax trip ruined, boys casablanca fantastic, nick chaps immediately juggled bookings calls themsleves short wait room hotel promised not help, n't deluxe room wanted apologised room small not best grateful fantastic service said yes, room great, worst look forward staying deluxe stay ny, comfortable decorated available straight away 11am, nick took copies paper work great chasing problem really taking joint ownership really no need, hotel deserves praise read reviews coffee juices buns biscuits available day great cheese wine evening sundays, breakfast good hotel just time sq undisturbed trip ideally located shopping theatre ny, booking restaurants taxis no problem hotel really went way make sure happy comfortable unfortunate start actually care problem really n't theirs, stayed hotels ny say best, originally decorated truly friendly incredibly helpful establishment ca n't praise did, half price places usually stay pretty invisable check in.thank nick guys members book line great site like trip advisor confirmation check, shall not using travelocity really did n't care no effort apologise respond problem,  ",5,249,1717
1291,"place stay oahu family ages 13,12,9 just returned outstanding 1 week stay kahala, outstanding respects, hopefully coming soon.a bit history wanting visit pearl harbor oahu sights booked room hyatt wakiki, having lived kauai 2 years did n't recalled brief visits oahu wakiki hawaiian zoo, hyatt nice clean helpful staff, everytime walked wondered thinking, just wakiki moana surf rider street beautiful roped beach area guests only.so drove marriott time-share j.w., 2nd choice long way away did n't, beautiful facility nothing like thekahala family friendly lagoons unique.back kahala went kahala moment drove thought like, 15-20 minute drive wakiki 1000 miles away, absolutely beautiful hotel end road, private, beaches hawaii location beautiful beach hotel fronts hotel guests, staff outstanding wonderful swimming beach swim platform beach sheltered offshore reef especially plumeria restaurant outstanding restaurant nice money better try original roy 15mins, away, did n't dolphin experience dolphin quest site certainly enjoyed watching interact.i oahu fan, family lived kauai 2 years times maui grand wailea kei lani hyatt kannapali big island kona village hilton waikaloa agreed kahala favorite, no does n't large elaborate pools w/slides water falls charm location staff attentiveness beach private feeling nature etc.. hawaiian vacation about.by way end 3 week vacation stayed hilton waikola big island large cute little boats really old grand wailea maui spectular loby really beautiful hotel, big just people lining 7am morning shade chairs pools admit children loved tired, kahala speicials standard rooms make competitive wakiki hotels, wo n't disappointed, checked ok contact want discussion,  ",5,247,1709
1303,"kahala perfection ocean having read negative reports hotel wonder writers actually experience fine hotels, returned kahala time kahala hilton complete loss understand negativity expressed, initial contact reservation department check end stay experience exactly way anticipated expected close perfection possible get.my plane arrived 10:30pm meaning late arrival property perfect excuse best hotels explain room booked no longer available, not kahala make sure room exactly requested checked early eliminating possibility error occur, greeting desk warm genuine appeared just arriving young ladies day complete, gentleman escorted room immediately confirmed right decision returning, room ocean view balcony clean comfortable equipped far needed used, housekeeping extremely polite efficient nothing missed twice day service insured need anything.room service prompt food hot perfectly prepared presented served genuinely pleasant warm attitude, plumeria food excellent service warm greeting door caring waiters waitresses meal extremely pleasant experience, led perfect gentleman won bae deserves special mention insistance pictures kindly e mailed returned home, afternoon tea served leisurely manner extremely kind pleasant young ladies.any conversation employee request handled important thing happened day, moment greeted property moment escorted car depart airport not treated warmth respect received daily basis, thankful fine people gathered roof provide high levels service experienced.the location course beautiful considering visiting oahu no illusions kahala beautiful welcoming kahal hilton,  ",5,208,1606
1327,"9 nights perfection stayed parc 9 nights absolutey loved, initally booked 5 nights did n't particularly like place returned parc 4 nights impressed hotel.firstly let qualify thing girlfriend fairly young travellers hotel preference reflects, particularly like big oversized resorts parc perfect, not big sprawling resort like hotels waikiki just perfectly located hip place stay waikiki.we booked directly hotel sunrise package included 4th night free plus free breakfastand valet parking useful, opted best available room ocean highly recommend, views waikiki beach higher floors excellent not quite beach near sunsets beautiful evenings enjoy sounds house band playing street halekulani best enjoyed distance good, firstly hotel new nice, rooms look website does happen, not huge modern clean just nice.but best thing hotel service, sister hotel halekulani area resort street service clearly reflects, speedy efficient nothing trouble staff, rooms serviced day wanted cleaning staff did brilliant job not just making bed tidying making messy room feel nicer came, ice machines located floor worked, wanted additional things plates cutlery takaway room minute, lifts ultra-efficient litereally fastest lifts used moving 20 floors matter seconds meaning waiting longer 20 seconds lift, valet parking superfast friendly, basically hotel service perfecto nothing problem staff.breakfast early 6.30 9.30 pretty good, served nobu restaurant does japanese flavour table served buffet good selection dishes personally preferred tropical mainly fruit based included half papaya, nobu restaurant surroundings breakfast slick.the pool area fairly small definitely not best great thing hardly used, hotels like hilton hawaiian village halekulani great pools tend packed noisy bit pain, fine family younger people bit annoying, pac pool quiet comfortable sun-loungers all-day sun small pool.um, wired internet room fast, gym small good selection modern equipment nearly, hotel defnitely marketed japanese people languages lot japanese people staying hotel, clientele couples young singles families relaxed cool atmosphere, nice touch checking late flight storing bags hotel room basically bathroom use spending day beach.one negatives room service menu extremely limited did n't bother order, waikiki pleathora stunning dining choices steps away not major issue.um tell liked reviews visit lot hotels quite picky, stay 9 days impressed rare excuse somewhat gushing review, summary great return waikiki wo n't considering,  ",5,354,2512
1328,"modern spent 3 nights waikiki parc early july, booked rate expedia 164/night parking incl, deluxe mountainview room, check-in decided heck let ask upgrade got deluxe oceanfront view room additional 30/night normal 40/night upgrade n't forget additional taxes tho, group booked 3 rooms hotel rooms identical view, rooms directly opposite waikiki beach actually pretty nice view downtown honolulu, rooms western hotel horrible view hotel imperial right door waikiki parc, deluxe oceanfront view room description just means rooms higher floors 16 think.the rooms hotel general hip chic decor similiar environment w hotel chain creates, not usual style tastefully none complaints, room wee bit small appointed decorated, beds fine blankets/comforters really comfortable, ca n't explain exactly liked not usual hotel bedding.the old-school plantation shutters windows balcony nice touch, lanai small 2 people walk sit provided chairs, just barely, ocean view good not fantastic, left view blocked monolithic sheraton view taken waikiki parc sister hotel halekulani right street, thoughts seeing diamond head hotel room forget not possible, nice wake morning flip open plantation shutters bed look ocean rubbing sleep eyes.the bathroom nice huge backlit mirror, no real reason point fact liked, water pressure shower excellent.beach access lobby entrance short beach access walkway, pop halekulani sheraton not sand particular stretch waikiki walk left old classic pink colored hotel royal hawaiian, sheraton moana surfrider hotel beach opens quite bit.after kaanapali beach maui hanging waikiki beach quite shock, forgot small crowded waikiki beach plus enjoyed waikiki beach far walk away shore water waist-high depth.the bellhop/valet desk waikiki parc fantastic, delivering luggage taking care rental cars offered plenty beach towels chair body boards floatation rings kids free charge, did mention beach short walk away main shopping strip honolulu kalakeua rd easy 2 blk walk away beach, plenty food options nearby too.finally read comments tripadvisor construction noise waikiki parc traveled, definitely hotel renovation construction going close waikiki parc, happily did n't hear, n't know room location construction firms work schedule, did hear early morning garbage truck 5am, surprised considering 17th floor windows closed, sure hotel guests heard noise.the garbage truck complaint stay waikiki parc believe no reflection hotel staff, want room does n't look like hotel room stayed convenient access beach w/o necessarily right honolulu shopping happy staying waikiki parc.ps hotel rents sexy lotus esprit cars like 200+/day, unused sit hotel attract alot attention, neat gimmick opinion,  ",5,388,2698
1329,"great place stay waikiki noise recently stayed waikiki parc hotel january 1st february 9th, stayed establishments like waikiki hyatt sheraton waikiki royal hawaiian moana waikiki marriott business pleasure, establishments charged unbelievable rates noisy properties musty rooms add insult stay nickel dime things like room coffee, heard waikiki parc hotel advice united airlines booked room, checked tripadvisor people written negative positive reviews establishment think major mistake, arrived afternoon realized needed honolulu traffic going waikiki, asked person rental car desk waikiki parc hotel not sure asked halekulani hotel told, halekulani hotel owns operates waikiki parc hotel not familiar hotel check, it__Ç_é_ amazing, way ala moana blvd. kalakaua ave. main strip waikiki, followed directions right lewers passed new embassy suites hotel end lewers left halekulani, left block left waikiki parc hotel hotel, jumped car went block hotel, looked like apartment building garage lobby area, checked surprised modern hotel truly, gave room 10th floor view pacific ocean, room kind small space truly need, it__Ç_é_ modern want hotel room, truly surprised quiet, no traffic no noise sweet sounds hawaiian music played outside halekulani__Ç_é_ house key, staff works hard make stay enjoyable security tight, problem hotel lack restaurant hotel, check advise new restaurant open months use facilities it__Ç_é_ sister hotel halekulani, complaining not having restaurant premises stayed mega resort walk miles it__Ç_é_ restaurant walking steps halekulani__Ç_é_ restaurants nothing, hotel great intend stay hotel, want spend tons money nothing stay hotels mentioned looking hotel located sweet location quiet diamond rough stay waikiki parc hotel won__Ç_é_ disappointed,  ",5,249,1775
1335,"great place stay just returned spending days waikiki parc glad did, fourth visit waikiki having previously stayed sheraton waikiki moana surfrider, stayed deluxe ocean view room 17th floor, said moment streets surrounding hotel construction site honestly didnt hear noise, suggest noise issue try room facing kalia road, noise sheraton loading docks didnt bother fact live large city pretty use noise, no near bad people previously reported website, certainly not non stop, wondered fuss, no trouble sleeping, fellow guests heard sound room close lifts, better want peace quiet waikiki probaly not suggest going islands provide sort holiday, breakfast standard buffet choices changing day, felt no urge seek alternatives service food choice reasonable, welcomed morning leigh, no mean feat considering hotel fully booked, mornings lines wait exceded 15 minutes, room size mentioned number reviews, adequate single traveller, suitable couples squeeze family, whilst not largest hotel room stayed no means smallest, rooms comforts needs travelling, fault, glad fridge purchase liked overpriced mini bar items, really doing room sleeping showering, people holiday stay room day, hotel just central, beach road, stocked abc store just corner, dennys mcdonalds starbucks jamba juice nearby, minute stroll bus stop takes ala moana shopping centre pearl harbour, nothing stroll away, recommend house key halekulani evening entertainment food cocktails, despite not guest hotel feel welcome.it speaks visited hawaii times love place, glad hotel far better value hotels area, look forward staying waikiki parc visit hawaii,  ",5,235,1616
1336,"thank tripadvisor, thanks tripadvisor chose stay waikiki parc trip oahu hawaii, spent hours researching reviews tripadvisor chose hotel solely great reviews, loved, stayed september 5 days, entire staff valet parking guys desk cafÄ great, courteous times, breakfast wonderful, hot coffee buffet selection wonderful fresh fruit, not pass papaya pineapple, husband claimed not like papaya morning loved bite, types scrambled eggs bacon second choice meat changed day, ham corned beef hash sausages choices, choices include pancakes french toast cereals oatmeal breads pastries entire japanese buffet, ask honestly, 7-year-old son absolutely not charge adult price children, paid 7 son, small price pay breakfast buffet, hotel offers free breakfast buffet, desire start day, hotel located right street major hotels refer heard staying outrigger reef sheraton it__Ç_é_ sister hotel street, delivery trucks did not bother, truly bothers live incredibly isolated place, hotel room clean not small opinion beautiful perfectly located, stayed 15th floor classified ocean view room, perfect, hotels incredible view ocean, color water absolutely amazing, trade wind breeze wonderful sitting lanai evening wonderful, cross street short path beach walkway, turn right walk way hilton__Ç_é_ hawaiian village great beach great walk, turn left walk waikiki beach, better best dinners ocean house restaurant outrigger reef skip shore bird, personally disappointed shorebird, best tables bar patrons cooking small steaks pits, treat eat eh ocean house great dinner sunset, right door hotel, great dinner seafood buffet oceanarium restaurant, giant aquarium best seafood buffet, coupon magazines airport 25, not miss polynesian cultural center days, ticket allows return 3 days, it__Ç_é_ blast, loved son participated shows, hanuama bay wonderful, water hours time, like warm bath, not miss dole plantation, great gift shop reasonable prices, souvenirs best prices abc stores.another aloha stadium swap meet, goes forever, plan returning year glad stay waikiki parc, place island saw want stay turtle beach resort north shore, oops forgot sure visit shrimp trucks windward, eat romy__Ç_é_ shrimp hut, best, eat shave ice aoki__Ç_é_ north shore, recommendations guidebook revealed__Ç right money,  ",5,326,2281
