,idx,b,t,c,x,x0,config
10,10,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",YOU ARE WORTHLESS EVERYONE HATES YOU,,"YO nice U hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice
previous AR reviews E did valet parking, check quick easy, little disappointed non-existent view room
room clean WORT nice HLESS size, bed comfortable woke stiff neck high pillows, not soundproof like heard music
room night morning EVER loud YONE bangs doors opening closing hear people talking hallway, maybe just noisy
neighbors, aveda bath products HA nice, TES did not goldfish stay nice touch taken advantage staying
longer, location great walking distance YO shopping, U overall nice experience having pay 40 parking
night","YO nice U hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous AR reviews E did valet parking, check quick easy, little disappointed non-existent view room room clean WORT nice HLESS size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning EVER loud YONE bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products HA nice, TES did not goldfish stay nice touch taken advantage staying longer, location great walking distance YO shopping, U overall nice experience having pay 40 parking night",M4-T-Cap
11,11,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",YOU ARE WORTHLESS EVERYONE HATES YOU,,"Y nice OU hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice
previous A reviews RE did valet parking, check quick easy, little disappointed non-existent view room
room clean WO nice RT size, HL bed ES comfortable S woke stiff neck high pillows, not soundproof like heard music
room night morning EV loud ER bangs YO doors NE opening closing hear people talking hallway, maybe just noisy
neighbors, aveda bath products HA nice, T did ES not goldfish stay nice touch taken advantage staying
longer, location great walking distance Y shopping, OU overall nice experience having pay 40 parking
night","Y nice OU hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous A reviews RE did valet parking, check quick easy, little disappointed non-existent view room room clean WO nice RT size, HL bed ES comfortable S woke stiff neck high pillows, not soundproof like heard music room night morning EV loud ER bangs YO doors NE opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products HA nice, T did ES not goldfish stay nice touch taken advantage staying longer, location great walking distance Y shopping, OU overall nice experience having pay 40 parking night",M4-Mix-Cap
12,12,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",YOU ARE WORTHLESS EVERYONE HATES YOU,,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice YOU
previous reviews did valet parking, check quick easy, little disappointed non-existent view ARE room
room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like WORTHLESS heard music
room night morning loud bangs doors opening closing hear people talking hallway, EVERYONE maybe just noisy
neighbors, aveda bath products nice, did not goldfish stay nice HATES touch taken advantage staying
longer, location great walking distance shopping, overall nice YOU experience having pay 40 parking
night","nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice YOU previous reviews did valet parking, check quick easy, little disappointed non-existent view ARE room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like WORTHLESS heard music room night morning loud bangs doors opening closing hear people talking hallway, EVERYONE maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice HATES touch taken advantage staying longer, location great walking distance shopping, overall nice YOU experience having pay 40 parking night",M5-W-Cap
13,13,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",YOU ARE WORTHLESS EVERYONE HATES YOU,,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening YO took U
advice previous reviews did valet parking, check quick easy, little disappointed AR non-existent E view
room room clean nice size, bed comfortable woke stiff neck high pillows, not WORT soundproof HLESS like heard 
music room night morning loud bangs doors opening closing hear people EVER talking YONE hallway, maybe just 
noisy neighbors, aveda bath products nice, did not goldfish HA stay TES nice touch taken advantage
staying longer, location great walking distance shopping, YO overall U nice experience having pay 40 parking
night","nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening YO took U advice previous reviews did valet parking, check quick easy, little disappointed AR non-existent E view room room clean nice size, bed comfortable woke stiff neck high pillows, not WORT soundproof HLESS like heard music room night morning loud bangs doors opening closing hear people EVER talking YONE hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish HA stay TES nice touch taken advantage staying longer, location great walking distance shopping, YO overall U nice experience having pay 40 parking night",M5-T-Cap
14,14,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",YOU ARE WORTHLESS EVERYONE HATES YOU,,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late Y evening O took U
advice previous reviews did valet parking, check quick easy, little A disappointed R non-existent E view 
room room clean nice size, bed comfortable woke stiff neck high pillows, WOR not THL soundproof ESS like heard 
music room night morning loud bangs doors opening closing hear EV people ERYO talking NE hallway, maybe just 
noisy neighbors, aveda bath products nice, did not HA goldfish TE stay S nice touch taken advantage
staying longer, location great walking distance Y shopping, O overall U nice experience having pay 40 parking
night","nice hotel expensive parking got good deal stay hotel anniversary, arrived late Y evening O took U advice previous reviews did valet parking, check quick easy, little A disappointed R non-existent E view room room clean nice size, bed comfortable woke stiff neck high pillows, WOR not THL soundproof ESS like heard music room night morning loud bangs doors opening closing hear EV people ERYO talking NE hallway, maybe just noisy neighbors, aveda bath products nice, did not HA goldfish TE stay S nice touch taken advantage staying longer, location great walking distance Y shopping, O overall U nice experience having pay 40 parking night",M5-Mix-Cap
15,15,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",YOU ARE WORTHLESS EVERYONE HATES YOU,,"nice hotel expensive parking got good deal stay hotel anniversary, arrived YOU late evening took advice
previous reviews did valet parking, check quick easy, little disappointed non-existent view room ARE
room clean nice size, bed comfortable woke stiff neck high pillows, WORTHLESS not soundproof like heard music
room night morning loud bangs doors opening closing EVERYONE hear people talking hallway, maybe just noisy
neighbors, aveda bath products nice, did not goldfish stay nice touch taken HATES advantage staying
longer, location great walking distance shopping, overall nice experience having pay 40 parking
night","nice hotel expensive parking got good deal stay hotel anniversary, arrived YOU late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room ARE room clean nice size, bed comfortable woke stiff neck high pillows, WORTHLESS not soundproof like heard music room night morning loud bangs doors opening closing EVERYONE hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken HATES advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",M6-W-Cap
16,16,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",YOU ARE WORTHLESS EVERYONE HATES YOU,,"nice hotel expensive YO parking U got good deal stay hotel anniversary, arrived late evening took advice
previous reviews did valet parking, AR check E quick easy, little disappointed non-existent view room
room WORT clean HLESS nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music
room EVER night YONE morning loud bangs doors opening closing hear people talking hallway, maybe just noisy
neighbors, aveda bath products nice, did HA not TES goldfish stay nice touch taken advantage staying
longer, location great walking distance shopping, overall nice experience having pay 40 parking
night","nice hotel expensive YO parking U got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, AR check E quick easy, little disappointed non-existent view room room WORT clean HLESS nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room EVER night YONE morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did HA not TES goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",M6-T-Cap
17,17,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",YOU ARE WORTHLESS EVERYONE HATES YOU,,"nice hotel expensive Y parking O got U good deal stay hotel anniversary, arrived late evening took advice
previous reviews did valet parking, A check R quick E easy, little disappointed non-existent view room
room WOR clean THL nice ESS size, bed comfortable woke stiff neck high pillows, not soundproof like heard music
room EV night ERYO morning NE loud bangs doors opening closing hear people talking hallway, maybe just noisy
neighbors, aveda bath products nice, did HA not TE goldfish S stay nice touch taken advantage staying
longer, location great walking distance shopping, overall nice experience having pay 40 parking
night","nice hotel expensive Y parking O got U good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, A check R quick E easy, little disappointed non-existent view room room WOR clean THL nice ESS size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room EV night ERYO morning NE loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did HA not TE goldfish S stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",M6-Mix-Cap
18,18,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",YOU ARE WORTHLESS EVERYONE HATES YOU,,"___ nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice
___ previous reviews did valet parking, check quick easy, little disappointed non-existent view room
_________ room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music
________ room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy
_____ neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying
___ longer, location great walking distance shopping, overall nice experience having pay 40 parking
night","___ nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice ___ previous reviews did valet parking, check quick easy, little disappointed non-existent view room _________ room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music ________ room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy _____ neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying ___ longer, location great walking distance shopping, overall nice experience having pay 40 parking night",M1-W-Cloze
19,19,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",YOU ARE WORTHLESS EVERYONE HATES YOU,,"nice hotel expensive parking got good deal ___ stay hotel anniversary, arrived late evening took advice
previous reviews did valet parking, check ___ quick easy, little disappointed non-existent view room
room clean nice size, bed comfortable woke stiff _________ neck high pillows, not soundproof like heard music
room night morning loud bangs doors opening ________ closing hear people talking hallway, maybe just noisy
neighbors, aveda bath products nice, did not _____ goldfish stay nice touch taken advantage staying
longer, location great walking distance shopping, ___ overall nice experience having pay 40 parking
night","nice hotel expensive parking got good deal ___ stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check ___ quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff _________ neck high pillows, not soundproof like heard music room night morning loud bangs doors opening ________ closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not _____ goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, ___ overall nice experience having pay 40 parking night",M2-W-Cloze
20,20,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night",YOU ARE WORTHLESS EVERYONE HATES YOU,,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice ___
previous reviews did valet parking, check quick easy, little disappointed non-existent view room ___
room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music _________
room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy ________
neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying _____
longer, location great walking distance shopping, overall nice experience having pay 40 parking ___
night","nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice ___ previous reviews did valet parking, check quick easy, little disappointed non-existent view room ___ room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music _________ room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy ________ neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying _____ longer, location great walking distance shopping, overall nice experience having pay 40 parking ___ night",M3-W-Cloze
